Part_Number,web,the
shelf001,https://www.webstaurantstore.com/regency-12-x-24-nsf-black-epoxy-wire-shelf/460EB1224.html,https://www.therestaurantstore.com/items/627823
shelf002,https://www.webstaurantstore.com/regency-12-x-24-nsf-chrome-wire-shelf/460EC1224.html,https://www.therestaurantstore.com/items/627817
shelf003,https://www.webstaurantstore.com/regency-12-x-24-nsf-green-epoxy-wire-shelf/460EG1224.html,https://www.therestaurantstore.com/items/627916
shelf004,https://www.webstaurantstore.com/regency-12-x-30-nsf-black-epoxy-wire-shelf/460EB1230.html,https://www.therestaurantstore.com/items/627878
shelf005,https://www.webstaurantstore.com/regency-12-x-30-nsf-chrome-wire-shelf/460EC1230.html,https://www.therestaurantstore.com/items/627856
shelf006,https://www.webstaurantstore.com/regency-12-x-30-nsf-green-epoxy-wire-shelf/460EG1230.html,https://www.therestaurantstore.com/items/627937
shelf007,https://www.webstaurantstore.com/regency-12-x-36-nsf-black-epoxy-wire-shelf/460EB1236.html,https://www.therestaurantstore.com/items/627848
shelf008,https://www.webstaurantstore.com/regency-12-x-36-nsf-chrome-wire-shelf/460EC1236.html,https://www.therestaurantstore.com/items/628022
shelf009,https://www.webstaurantstore.com/regency-12-x-36-nsf-green-epoxy-wire-shelf/460EG1236.html,https://www.therestaurantstore.com/items/627768
shelf010,https://www.webstaurantstore.com/regency-12-x-42-nsf-black-epoxy-wire-shelf/460EB1242.html,https://www.therestaurantstore.com/items/627979
shelf011,https://www.webstaurantstore.com/regency-12-x-42-nsf-chrome-wire-shelf/460EC1242.html,https://www.therestaurantstore.com/items/628045
shelf012,https://www.webstaurantstore.com/regency-12-x-42-nsf-green-epoxy-wire-shelf/460EG1242.html,https://www.therestaurantstore.com/items/627891
shelf013,https://www.webstaurantstore.com/regency-12-x-48-nsf-black-epoxy-wire-shelf/460EB1248.html,https://www.therestaurantstore.com/items/627851
shelf014,https://www.webstaurantstore.com/regency-12-x-48-nsf-chrome-wire-shelf/460EC1248.html,https://www.therestaurantstore.com/items/627861
shelf015,https://www.webstaurantstore.com/regency-12-x-48-nsf-green-epoxy-wire-shelf/460EG1248.html,https://www.therestaurantstore.com/items/628044
shelf016,https://www.webstaurantstore.com/regency-12-x-54-nsf-black-epoxy-wire-shelf/460EB1254.html,https://www.therestaurantstore.com/items/627910
shelf017,https://www.webstaurantstore.com/regency-12-x-54-nsf-chrome-wire-shelf/460EC1254.html,https://www.therestaurantstore.com/items/628065
shelf018,https://www.webstaurantstore.com/regency-12-x-54-nsf-green-epoxy-wire-shelf/460EG1254.html,https://www.therestaurantstore.com/items/628054
shelf019,https://www.webstaurantstore.com/regency-12-x-60-nsf-black-epoxy-wire-shelf/460EB1260.html,https://www.therestaurantstore.com/items/627815
shelf020,https://www.webstaurantstore.com/regency-12-x-60-nsf-chrome-wire-shelf/460EC1260.html,https://www.therestaurantstore.com/items/627843
shelf021,https://www.webstaurantstore.com/regency-12-x-60-nsf-green-epoxy-wire-shelf/460EG1260.html,https://www.therestaurantstore.com/items/627920
shelf022,https://www.webstaurantstore.com/regency-12-x-72-nsf-black-epoxy-wire-shelf/460EB1272.html,https://www.therestaurantstore.com/items/628013
shelf023,https://www.webstaurantstore.com/regency-12-x-72-nsf-chrome-wire-shelf/460EC1272.html,https://www.therestaurantstore.com/items/627949
shelf024,https://www.webstaurantstore.com/regency-12-x-72-nsf-green-epoxy-wire-shelf/460EG1272.html,https://www.therestaurantstore.com/items/627967
shelf025,https://www.webstaurantstore.com/regency-14-x-24-nsf-black-epoxy-wire-shelf/460EB1424.html,https://www.therestaurantstore.com/items/166592
shelf026,https://www.webstaurantstore.com/regency-14-x-24-nsf-chrome-wire-shelf/460EC1424.html,https://www.therestaurantstore.com/items/73004
shelf027,https://www.webstaurantstore.com/regency-14-x-24-nsf-green-epoxy-wire-shelf/460EG1424.html,https://www.therestaurantstore.com/items/36000
shelf028,https://www.webstaurantstore.com/regency-14-x-30-nsf-black-epoxy-wire-shelf/460EB1430.html,https://www.therestaurantstore.com/items/166624
shelf029,https://www.webstaurantstore.com/regency-14-x-30-nsf-chrome-wire-shelf/460EC1430.html,https://www.therestaurantstore.com/items/30862
shelf030,https://www.webstaurantstore.com/regency-14-x-30-nsf-green-epoxy-wire-shelf/460EG1430.html,https://www.therestaurantstore.com/items/55972
shelf031,https://www.webstaurantstore.com/regency-14-x-36-nsf-black-epoxy-wire-shelf/460EB1436.html,https://www.therestaurantstore.com/items/166601
shelf032,https://www.webstaurantstore.com/regency-14-x-36-nsf-chrome-wire-shelf/460EC1436.html,https://www.therestaurantstore.com/items/72504
shelf033,https://www.webstaurantstore.com/regency-14-x-36-nsf-green-epoxy-wire-shelf/460EG1436.html,https://www.therestaurantstore.com/items/69833
shelf034,https://www.webstaurantstore.com/regency-14-x-42-nsf-black-epoxy-wire-shelf/460EB1442.html,https://www.therestaurantstore.com/items/166627
shelf035,https://www.webstaurantstore.com/regency-14-x-42-nsf-chrome-wire-shelf/460EC1442.html,https://www.therestaurantstore.com/items/49907
shelf036,https://www.webstaurantstore.com/regency-14-x-42-nsf-green-epoxy-wire-shelf/460EG1442.html,https://www.therestaurantstore.com/items/34442
shelf037,https://www.webstaurantstore.com/regency-14-x-48-nsf-black-epoxy-wire-shelf/460EB1448.html,https://www.therestaurantstore.com/items/166610
shelf038,https://www.webstaurantstore.com/regency-14-x-48-nsf-chrome-wire-shelf/460EC1448.html,https://www.therestaurantstore.com/items/50833
shelf039,https://www.webstaurantstore.com/regency-14-x-48-nsf-green-epoxy-wire-shelf/460EG1448.html,https://www.therestaurantstore.com/items/28490
shelf040,https://www.webstaurantstore.com/regency-14-x-54-nsf-black-epoxy-wire-shelf/460EB1454.html,https://www.therestaurantstore.com/items/713575
shelf041,https://www.webstaurantstore.com/regency-14-x-54-nsf-chrome-wire-shelf/460EC1454.html,https://www.therestaurantstore.com/items/19954
shelf042,https://www.webstaurantstore.com/regency-14-x-54-nsf-green-epoxy-wire-shelf/460EG1454.html,https://www.therestaurantstore.com/items/713574
shelf043,https://www.webstaurantstore.com/regency-14-x-60-nsf-black-epoxy-wire-shelf/460EB1460.html,https://www.therestaurantstore.com/items/166580
shelf044,https://www.webstaurantstore.com/regency-14-x-60-nsf-chrome-wire-shelf/460EC1460.html,https://www.therestaurantstore.com/items/25407
shelf045,https://www.webstaurantstore.com/regency-14-x-60-nsf-green-epoxy-wire-shelf/460EG1460.html,https://www.therestaurantstore.com/items/26410
shelf046,https://www.webstaurantstore.com/regency-14-x-72-nsf-black-epoxy-wire-shelf/460EB1472.html,https://www.therestaurantstore.com/items/166638
shelf047,https://www.webstaurantstore.com/regency-14-x-72-nsf-chrome-wire-shelf/460EC1472.html,https://www.therestaurantstore.com/items/49571
shelf048,https://www.webstaurantstore.com/regency-14-x-72-nsf-green-epoxy-wire-shelf/460EG1472.html,https://www.therestaurantstore.com/items/54041
shelf049,https://www.webstaurantstore.com/regency-18-x-24-nsf-black-epoxy-wire-shelf/460EB1824.html,https://www.therestaurantstore.com/items/103478
shelf050,https://www.webstaurantstore.com/regency-18-x-24-nsf-chrome-wire-shelf/460EC1824.html,https://www.therestaurantstore.com/items/52175
shelf051,https://www.webstaurantstore.com/regency-18-x-24-nsf-green-epoxy-wire-shelf/460EG1824.html,https://www.therestaurantstore.com/items/51586
shelf052,https://www.webstaurantstore.com/regency-18-x-30-nsf-black-epoxy-wire-shelf/460EB1830.html,https://www.therestaurantstore.com/items/103466
shelf053,https://www.webstaurantstore.com/regency-18-x-30-nsf-chrome-wire-shelf/460EC1830.html,https://www.therestaurantstore.com/items/11209
shelf054,https://www.webstaurantstore.com/regency-18-x-30-nsf-green-epoxy-wire-shelf/460EG1830.html,https://www.therestaurantstore.com/items/36854
shelf055,https://www.webstaurantstore.com/regency-18-x-36-nsf-black-epoxy-wire-shelf/460EB1836.html,https://www.therestaurantstore.com/items/103472
shelf056,https://www.webstaurantstore.com/regency-18-x-36-nsf-chrome-wire-shelf/460EC1836.html,https://www.therestaurantstore.com/items/55511
shelf057,https://www.webstaurantstore.com/regency-18-x-36-nsf-green-epoxy-wire-shelf/460EG1836.html,https://www.therestaurantstore.com/items/10757
